case_id,category,word,context,note,candidate,pos,model,score,rank,is_expected,top_candidate,top_is_expected,best_expected_rank,reciprocal_rank,expected_margin,error,error_message,latency_first_ms,latency_mean_ms,latency_min_ms,latency_p95_ms,repeats,model_load_seconds,embedding_dimension,max_sequence_length,parameter_count
animal_cat,basic synonym,cat,The cat sat on the mat.,A direct synonym should beat a related but narrower word and an unrelated animal.,kitten,n,MiniLM,0.8696454763412476,1,False,kitten,False,3,0.3333333333333333,-0.15021926164627075,False,,3404.0694590003113,688.0456167997181,6.8561669995688135,2725.920892200156,5,6.232693125000878,384,256,22713216
animal_cat,basic synonym,cat,The cat sat on the mat.,A direct synonym should beat a related but narrower word and an unrelated animal.,dog,n,MiniLM,0.7218878269195557,2,False,kitten,False,3,0.3333333333333333,-0.15021926164627075,False,,3404.0694590003113,688.0456167997181,6.8561669995688135,2725.920892200156,5,6.232693125000878,384,256,22713216
animal_cat,basic synonym,cat,The cat sat on the mat.,A direct synonym should beat a related but narrower word and an unrelated animal.,feline,n,MiniLM,0.7194262146949768,3,True,kitten,False,3,0.3333333333333333,-0.15021926164627075,False,,3404.0694590003113,688.0456167997181,6.8561669995688135,2725.920892200156,5,6.232693125000878,384,256,22713216
river_bank,word sense disambiguation,bank,"Watching the sunset, the two lovers sat together on the river bank.",The context should prefer the riverside sense over finance senses.,depository,n,MiniLM,0.9209432601928711,1,False,depository,False,3,0.3333333333333333,-0.019319236278533936,False,,282.25866700086044,65.39550040033646,9.04166700092901,228.39834200058243,5,6.232693125000878,384,256,22713216
river_bank,word sense disambiguation,bank,"Watching the sunset, the two lovers sat together on the river bank.",The context should prefer the riverside sense over finance senses.,fund,n,MiniLM,0.9185914993286133,2,False,depository,False,3,0.3333333333333333,-0.019319236278533936,False,,282.25866700086044,65.39550040033646,9.04166700092901,228.39834200058243,5,6.232693125000878,384,256,22713216
river_bank,word sense disambiguation,bank,"Watching the sunset, the two lovers sat together on the river bank.",The context should prefer the riverside sense over finance senses.,shore,n,MiniLM,0.9016240239143372,3,True,depository,False,3,0.3333333333333333,-0.019319236278533936,False,,282.25866700086044,65.39550040033646,9.04166700092901,228.39834200058243,5,6.232693125000878,384,256,22713216
river_bank,word sense disambiguation,bank,"Watching the sunset, the two lovers sat together on the river bank.",The context should prefer the riverside sense over finance senses.,levee,n,MiniLM,0.8706995248794556,4,False,depository,False,3,0.3333333333333333,-0.019319236278533936,False,,282.25866700086044,65.39550040033646,9.04166700092901,228.39834200058243,5,6.232693125000878,384,256,22713216
financial_bank,word sense disambiguation,bank,The bank approved the small business loan after reviewing the application.,Finance context should separate institutional synonyms from river terms.,lender,n,MiniLM,0.9552378058433533,1,True,lender,True,1,1.0,0.13049066066741943,False,,351.279541000622,78.7940416008496,8.682458001203486,283.6927662006928,5,6.232693125000878,384,256,22713216
financial_bank,word sense disambiguation,bank,The bank approved the small business loan after reviewing the application.,Finance context should separate institutional synonyms from river terms.,financial institution,n,MiniLM,0.9490711688995361,2,True,lender,True,1,1.0,0.13049066066741943,False,,351.279541000622,78.7940416008496,8.682458001203486,283.6927662006928,5,6.232693125000878,384,256,22713216
financial_bank,word sense disambiguation,bank,The bank approved the small business loan after reviewing the application.,Finance context should separate institutional synonyms from river terms.,embankment,n,MiniLM,0.8247471451759338,3,False,lender,True,1,1.0,0.13049066066741943,False,,351.279541000622,78.7940416008496,8.682458001203486,283.6927662006928,5,6.232693125000878,384,256,22713216
financial_bank,word sense disambiguation,bank,The bank approved the small business loan after reviewing the application.,Finance context should separate institutional synonyms from river terms.,shore,n,MiniLM,0.8246771097183228,4,False,lender,True,1,1.0,0.13049066066741943,False,,351.279541000622,78.7940416008496,8.682458001203486,283.6927662006928,5,6.232693125000878,384,256,22713216
sunset,near synonym,sunset,"Watching the sunset, the two lovers sat together on the river bank.",Close synonyms should beat the antonym-like distractor.,nightfall,n,MiniLM,0.9254615306854248,1,False,nightfall,False,2,0.5,-0.0033177733421325684,False,,11.523749999469146,10.56822499995178,9.677416999693378,11.524450000433717,5,6.232693125000878,384,256,22713216
sunset,near synonym,sunset,"Watching the sunset, the two lovers sat together on the river bank.",Close synonyms should beat the antonym-like distractor.,dusk,n,MiniLM,0.9221437573432922,2,True,nightfall,False,2,0.5,-0.0033177733421325684,False,,11.523749999469146,10.56822499995178,9.677416999693378,11.524450000433717,5,6.232693125000878,384,256,22713216
sunset,near synonym,sunset,"Watching the sunset, the two lovers sat together on the river bank.",Close synonyms should beat the antonym-like distractor.,sundown,n,MiniLM,0.9167448878288269,3,True,nightfall,False,2,0.5,-0.0033177733421325684,False,,11.523749999469146,10.56822499995178,9.677416999693378,11.524450000433717,5,6.232693125000878,384,256,22713216
sunset,near synonym,sunset,"Watching the sunset, the two lovers sat together on the river bank.",Close synonyms should beat the antonym-like distractor.,sunrise,n,MiniLM,0.9158351421356201,4,False,nightfall,False,2,0.5,-0.0033177733421325684,False,,11.523749999469146,10.56822499995178,9.677416999693378,11.524450000433717,5,6.232693125000878,384,256,22713216
bright_idea,figurative language,bright,Her bright idea helped the team solve the production issue quickly.,Figurative context should prefer mental sharpness over literal light.,luminous,adj,MiniLM,0.9287546873092651,1,False,luminous,False,2,0.5,-0.02338796854019165,False,,239.69683299947064,54.69653319960344,5.9842499995284015,194.23576639928794,5,6.232693125000878,384,256,22713216
bright_idea,figurative language,bright,Her bright idea helped the team solve the production issue quickly.,Figurative context should prefer mental sharpness over literal light.,intelligent,adj,MiniLM,0.9053667187690735,2,True,luminous,False,2,0.5,-0.02338796854019165,False,,239.69683299947064,54.69653319960344,5.9842499995284015,194.23576639928794,5,6.232693125000878,384,256,22713216
bright_idea,figurative language,bright,Her bright idea helped the team solve the production issue quickly.,Figurative context should prefer mental sharpness over literal light.,dull,adj,MiniLM,0.8924590349197388,3,False,luminous,False,2,0.5,-0.02338796854019165,False,,239.69683299947064,54.69653319960344,5.9842499995284015,194.23576639928794,5,6.232693125000878,384,256,22713216
bright_idea,figurative language,bright,Her bright idea helped the team solve the production issue quickly.,Figurative context should prefer mental sharpness over literal light.,shiny,adj,MiniLM,0.8233566284179688,4,False,luminous,False,2,0.5,-0.02338796854019165,False,,239.69683299947064,54.69653319960344,5.9842499995284015,194.23576639928794,5,6.232693125000878,384,256,22713216
bright_lamp,literal sense,bright,The bright lamp lit every corner of the quiet room.,Literal lighting context should prefer visual brightness.,dim,adj,MiniLM,0.9585093855857849,1,False,dim,False,2,0.5,-0.005735814571380615,False,,251.8207920002169,61.975833399628755,11.575249998713844,204.9166002001584,5,6.232693125000878,384,256,22713216
bright_lamp,literal sense,bright,The bright lamp lit every corner of the quiet room.,Literal lighting context should prefer visual brightness.,luminous,adj,MiniLM,0.9527735710144043,2,True,dim,False,2,0.5,-0.005735814571380615,False,,251.8207920002169,61.975833399628755,11.575249998713844,204.9166002001584,5,6.232693125000878,384,256,22713216
bright_lamp,literal sense,bright,The bright lamp lit every corner of the quiet room.,Literal lighting context should prefer visual brightness.,intelligent,adj,MiniLM,0.9279508590698242,3,False,dim,False,2,0.5,-0.005735814571380615,False,,251.8207920002169,61.975833399628755,11.575249998713844,204.9166002001584,5,6.232693125000878,384,256,22713216
bright_lamp,literal sense,bright,The bright lamp lit every corner of the quiet room.,Literal lighting context should prefer visual brightness.,radiant,adj,MiniLM,0.9277817010879517,4,True,dim,False,2,0.5,-0.005735814571380615,False,,251.8207920002169,61.975833399628755,11.575249998713844,204.9166002001584,5,6.232693125000878,384,256,22713216
mouse_device,word sense disambiguation,mouse,She clicked the mouse to open the file on her laptop.,Computing context should beat the animal sense.,computer mouse,n,MiniLM,0.9945365190505981,1,True,computer mouse,True,1,1.0,0.04600292444229126,False,,19.08733399977791,14.483924799787928,10.171583000555984,18.94877539962181,5,6.232693125000878,384,256,22713216
mouse_device,word sense disambiguation,mouse,She clicked the mouse to open the file on her laptop.,Computing context should beat the animal sense.,pointer,n,MiniLM,0.9635106325149536,2,True,computer mouse,True,1,1.0,0.04600292444229126,False,,19.08733399977791,14.483924799787928,10.171583000555984,18.94877539962181,5,6.232693125000878,384,256,22713216
